"author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/id","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","author/userName","bookmarkCount","createdAt","entities/hashtags/0/indices/0","entities/hashtags/0/indices/1","entities/hashtags/0/text","entities/hashtags/1/indices/0","entities/hashtags/1/indices/1","entities/hashtags/1/text","entities/hashtags/2/indices/0","entities/hashtags/2/indices/1","entities/hashtags/2/text","entities/hashtags/3/indices/0","entities/hashtags/3/indices/1","entities/hashtags/3/text","entities/urls/0/display_url","entities/urls/0/expanded_url","entities/urls/0/indices/0","entities/urls/0/indices/1","entities/urls/0/url","entities/user_mentions/0/id_str","entities/user_mentions/0/indices/0","entities/user_mentions/0/indices/1","entities/user_mentions/0/name","entities/user_mentions/0/screen_name","entities/user_mentions/1/id_str","entities/user_mentions/1/indices/0","entities/user_mentions/1/indices/1","entities/user_mentions/1/name","entities/user_mentions/1/screen_name","id","isConversationControlled","isQuote","isReply","isRetweet","lang","likeCount","place/bounding_box/coordinates/0/0/0","place/bounding_box/coordinates/0/0/1","place/bounding_box/coordinates/0/1/0","place/bounding_box/coordinates/0/1/1","place/bounding_box/coordinates/0/2/0","place/bounding_box/coordinates/0/2/1","place/bounding_box/coordinates/0/3/0","place/bounding_box/coordinates/0/3/1","place/bounding_box/coordinates/0/4/0","place/bounding_box/coordinates/0/4/1","place/bounding_box/type","place/country","place/country_code","place/full_name","place/id","place/name","place/place_type","place/url","quoteCount","replyCount","retweetCount","source","text","twitterUrl","type","url"
"false","true",,"Mon Mar 02 02:09:22 +0000 2009","AVAILABLE ONLINE virtual appointments available 🌎Worldwide Shipping By Appt Only","banglez.com","http://www.banglez.com","0","23","https://t.co/Sd8IjSo00H","0","121","239","287","false","22437792","false","false","","20","Banglez Jewelry","https://pbs.twimg.com/profile_images/1179613776682913793/FZu0PIej_normal.jpg","","3353","https://twitter.com/BANGLEZ","user","https://x.com/BANGLEZ","BANGLEZ","0","Fri Nov 12 13:17:40 +0000 2021","15","25","browngirl","27","32","desi","33","41","melanin","43","57","crownthebrown","instagram.com/p/CWLVuQdABe2/…","https://www.instagram.com/p/CWLVuQdABe2/?utm_medium=twitter","112","135","https://t.co/Jiat8j4cvu","736039589232549888","62","74","❤️","encoreankur",,,,,,"1459148391716306946","false","false","false","false","en","0","-74.026675","40.683935","-74.026675","40.877483","-73.910408","40.877483","-73.910408","40.683935","-74.026675","40.683935","Polygon","United States","US","Manhattan, NY","01a9a39529b27f36","Manhattan","city","https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json","0","0","0","Instagram","Royal Armour 

#browngirl 
#desi #melanin 
#crownthebrown 
👑 
@encoreankur 
Krithika Reddy @ New York, New York https://t.co/Jiat8j4cvu","https://twitter.com/BANGLEZ/status/1459148391716306946","tweet","https://x.com/BANGLEZ/status/1459148391716306946"
"false","true","https://pbs.twimg.com/profile_banners/232629326/1602822791","Fri Dec 31 18:44:43 +0000 2010","nuthin’ 2 prove",,,,,,"0","14520","1110","522","true","232629326","false","false","Maryland, USA","2192","buffy!","https://pbs.twimg.com/profile_images/1769770773189730304/-bCjsA99_normal.jpg","","50876","https://twitter.com/chrxstineo","user","https://x.com/chrxstineo","chrxstineo","0","Tue Oct 07 23:06:30 +0000 2014","63","77","crownthebrown",,,,,,,,,,,,,,,"470789935","9","25","Allegra James","Allegra_James24","1272863192","30","40","Calvin Bembry","Lawless_5","519624839925993472","false","false","false","false","en","4","-75.71412","38.28923","-75.71412","38.431613","-75.487032","38.431613","-75.487032","38.28923","-75.71412","38.28923","Polygon","United States","US","Salisbury, MD","00caf39d503a84e9","Salisbury","city","https://api.twitter.com/1.1/geo/id/00caf39d503a84e9.json","0","1","2","Twitter for iPhone","so happy @Allegra_James24 and @Lawless_5 made homecoming court #crownthebrown 💃","https://twitter.com/chrxstineo/status/519624839925993472","tweet","https://x.com/chrxstineo/status/519624839925993472"
